Archipelago	state	inselberg	Acianthera_prolifera	Aechmea_nudicaulis	Alcantarea_longibracteata	Alcantarea_trepida	Alcantarea_affextensa	Alcantarea_glaziouana	Alcantarea_nigripetala	Alcantarea_sp	Alcantarea_affturgida	Alcantarea_patriae	Alcantarea_roberto-kautskyi	Alcantarea_simplicisticha	Alcantarea_extensa	Anthurium_coriaceum	Anthurium_microphyllum	Anthurium_mucuri	Anthurium_spnov	Anthurium_sucrii	Apochloa_lutzii	Axonopus_graniticola	Barbacenia_gaveensis	Barbacenia_purpurea	Barbacenia_tomentosa	Brasiliorchis_cfmarginata	Brassavola_tuberculata	Bulbostylis_capillaris	Bulbostylis_lagoensis	Bulbostylis_truncata	Cheilanthes_geraniifolia	Cheilanthes_goyazensis	Coleocephalocereus_buxbaumianus	Coleocephalocereus_decumbens	Coleocephalocereus_fluminensis	Coleocephalocereus_pluricostatus	Commelina_benghalensis	Commelina_sp1	Commelina_sp2	Commelina_sp3	Fimbristylis_sp	Cyperus_coriifolius	Cyperus_hermafroditus	Cyperus_pohlii	Cyrtopodium_glutiniferum	Doryopteris_collina	Doryopteris_varians	Encholirium_gracile	Encholirium_horridum	Encholirium_affgracile1	Encholirium_affgracile3	Encholirium_affgracile2	Encyclia_spiritusanctensis	Epidendrum_denticulatum	Epidendrum_secundum	Epidendrum_sp	Euphorbia_comosa	Euphorbia_holochlorina	Furcraea_foetida	Hatiora_salicornioides	Ichnanthus_cfbambusiflorus	Kalanchoe_delagoensis	Maxillaria_cfpicta	Melinis_minutiflora	Melinis_repens	Pseudolaelia_sp	Orthophytum_compactum	Orthophytum_sp1	Orthophytum_sp2	Orthophytum_horridum	Orthophytum_gurkenii	Philodendron_edmundoi	Pilosocereus_brasiliensis	Pitcairnia_albiflos	Pitcairnia_azouryi	Pitcairnia_barbatostigma	Pitcairnia_flammea	Pitcairnia_staminea	Pitcairnia_affbarbatostigma	Aristida_sp	Ichnanthus_sp	Portulaca_hirsutissima	Prescottia_cfspiranthophylla	Prescottia_sp1	Pseudolaelia_geraensis	Pseudolaelia_vellozicola	Rhipsalis_cereoides	Rhipsalis_sp1	Rhynchospora_sp	Scleria_sp2	Scleria_sp1	Scleria_spnov	Selaginella_convoluta	Selaginella_sellowii	Setaria_sp1	Setaria_sp2	Syagrus_ruschiana	Tillandsia_araujei	Tillandsia_brachyphylla	Tillandsia_loliacea	Trilepis_lhotzkiana	Trilepis_microstachya	Vellozia_affcandida	Vellozia_affhirssuta	Vellozia_candida	Vellozia_plicata	Vellozia_variegata	Stigmatodon_affapparicianus	Stigmatodon_brassicoides	Stigmatodon_costae	Vriesea_neoglutinosa	Vriesea_procera
A3	ES	figueira	0	0	0	0	12.73333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	0	16.26666667	0	0	0	0.066666667	0	0	0	0.133333333	0	0	0	0	0	0	4.733333333	0	0	13.66666667	0	0	0	0	0	7.766666667	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	3.033333333	0.466666667	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0.666666667	0	0	0	0	0	1	0	8.9	0	0	7.5	0	0	0	0.4	0	0	0	0.133333333	13.4	0	0	0	0	0	0
A1	RJ	gavea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	13.36666667	0	4.533333333	0	0	0.166666667	7.333333333	0.066666667	0	0	0	0	0	0	0.533333333	0	0	0	0	0	0.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	1.2	0	0	0.1	0	0.666666667	0	0	0	0	4.633333333	0.133333333	0	11.6	0	0	0	4.766666667	0	0	0	1.3	0	0	0
A1	RJ	itacoatiara	0	3.633333333	0	0	0	25.63333333	0	0	0	0	0	0	0	0	0	0	0	0.833333333	0	0	0	0	0	0	1	0.1	0	0	0	0	0	0	4.033333333	0	0	0	0	0.566666667	0	2.566666667	0	0	0	0	0.6	0	0	0	0	0	0	1.466666667	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0.333333333	0	0	0	0	4.866666667	0	0	0	0.233333333	0	0	0	0	4.5	0	0	0	0	0	0	5.6	0	0	0	3.1	0	0	14.33333333	0	0	0	1.166666667	0	0	0	0	0	0	0
A2	RJ	itoca	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0.933333333	0	0.333333333	0	0	0	0	5.066666667	0	0	0.166666667	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	38.33333333	0	0	0	0	0	0	12.83333333	0	0	0	0	17.06666667	0	0	0	0	0	0
A1	RJ	macumba	0	0	0	0	0	58.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.166666667	0	7.666666667	0	0	8.133333333	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4	MG	marilu	0	0	0	0	0	0	0	0	0	0	0	0	23.66666667	0	0	0	2.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0.5	0	0	0	0	0	0	5.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.26666667	1.166666667	0	0	16.33333333	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0
A2	RJ	pedradasede	0	0	0	0	0	0	0	0	0	29.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.666666667	0	0	0	0	0	0	0.1	0	0	0.266666667	1.533333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.133333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466666667	0	0	0	0	0	0	0	0	31.93333333	26.8	0	0	0	0	0	0	0	2.666666667	0	0	0	5.166666667	0	0	0	0	0	0
A3	ES	pedradoelefante	0.566666667	0	0	0	0	0	0	0	0	0	0	45.73333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.633333333	1.333333333	0	0	0	2.733333333	0	0	0	0	0	0	0	4.2	0	0	0.566666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7.766666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	2.366666667	0	0	0.633333333	0	4.033333333	0	0	0	0	0	0	5.466666667	0	0	0	0.766666667	0	3.333333333	0	0	0	0	0
A2	ES	pedradoplato	0	0	0	49.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.033333333	0.333333333	2.166666667	0	0	0	0	0	0	0	0	1.4	0.1	0	0	0	0	0	0	3.333333333	0	3.633333333	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	1.266666667	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2	RJ	riopreto5km	0	0	0	0	0	0	0	0	0	10.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.03333333	37.56666667	0	0	0	0	0	0.033333333	0	1.966666667	0	0	0	28.33333333	0	0	0	0	0	0
A3	ES	saogabriel	0	0	0	0	0	0	0	0	0	0	0	15.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.166666667	0	2.133333333	0	0	9.5	0	0	0	0	0.333333333	0	0	0	0	0	0	0.066666667	0	0	0	0.966666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.96666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.266666667	0.433333333	0	9.166666667	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
A4	MG	sinval	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.666666667	0	1.333333333	0	0	0	0	0	0	0.333333333	0	0	0	1.333333333	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.833333333	0	0	0	0	0.8	11.4	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	1.666666667	0	0	0	0	0	0	0	2.166666667	4.633333333	0	0	0	0	0	0	0.133333333	0	0	0.166666667	0	13.06666667	0	0	0	0	0	0
A1	RJ	urca	0	0	0	0	0	34.5	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0	0	0	29.66666667	0	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	4.033333333	0	0	0	0	0	0	0	0	0	0.566666667	0	0	0	0	0	0	0	0	3.733333333	0	0	7.133333333	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.266666667	0	0	0	0	0	0	0
A3	ES	veadinho	0	0	0	0	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.766666667	0	0	6.066666667	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	22.36666667	0	0	16.26666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.666666667	0	0	0	0	0	4.1	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	1.233333333	0	0	1.166666667	0	0	0	0	0	0	0	1.733333333	12.86666667	0	0	0	0	0	0
